full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
hiyouga/LLaMA-Factory,LLaMA-Factory,603,6713,91.76,685,34,0.0,Python,2.22
traefik/traefik,traefik,678,5705,89.38,4697,481,1.0,Go,9.93
FiloSottile/mkcert,mkcert,160,239,59.9,52,14,0.0,Go,7.15
git/git,git,250,0,0.0,3,0,0.0,C,17.07
PlexPt/awesome-chatgpt-prompts-zh,awesome-chatgpt-prompts-zh,41,58,58.59,33,0,3.0,,2.68
gatsbyjs/gatsby,gatsby,357,13900,97.5,18125,149,2.0,JavaScript,10.24
commaai/openpilot,openpilot,157,2922,94.9,11738,57,0.0,Python,8.73
azl397985856/leetcode,leetcode,11,248,95.75,257,40,13.0,JavaScript,7.38
vllm-project/vllm,vllm,2778,8408,75.17,8570,70,0.0,Python,2.52
remix-run/react-router,react-router,140,8035,98.29,3171,310,0.0,TypeScript,11.25
topjohnwu/Magisk,Magisk,48,6221,99.23,1604,151,0.0,Kotlin,8.94
ageitgey/face_recognition,face_recognition,820,595,42.05,94,2,3.0,Python,8.45
ultralytics/yolov5,yolov5,293,9173,96.9,2206,10,2.0,Python,5.25
CorentinJ/Real-Time-Voice-Cloning,Real-Time-Voice-Cloning,226,896,79.86,20,0,3.0,Python,6.23
AntonOsika/gpt-engineer,gpt-engineer,49,470,90.56,350,20,0.0,Python,2.3
minio/minio,minio,54,7770,99.31,9849,519,2.0,Go,10.59
BurntSushi/ripgrep,ripgrep,195,1578,89.0,515,72,0.0,Rust,9.43
deepfakes/faceswap,faceswap,40,847,95.49,357,4,0.0,Python,7.66
toeverything/AFFiNE,AFFiNE,324,2734,89.4,8710,568,0.0,TypeScript,3.05
ElemeFE/element,element,2933,15249,83.87,3223,145,2.0,Vue,8.95
pmndrs/zustand,zustand,7,688,98.99,803,97,1.0,TypeScript,6.36
lencx/ChatGPT,ChatGPT,866,361,29.42,123,34,0.0,Rust,2.69
sharkdp/bat,bat,346,1189,77.46,1453,41,0.0,Rust,7.32
golang-standards/project-layout,project-layout,94,44,31.88,89,0,0.0,Makefile,7.94
