full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
HeyPuter/puter,puter,202,512,71.71,585,8,2.0,JavaScript,1.46
TeamNewPipe/NewPipe,NewPipe,1247,8399,87.07,1646,137,2.0,Java,9.95
fengdu78/Coursera-ML-AndrewNg-Notes,Coursera-ML-AndrewNg-Notes,67,15,18.29,13,0,0.0,HTML,7.78
reworkd/AgentGPT,AgentGPT,211,337,61.5,539,12,6.0,TypeScript,2.36
doocs/leetcode,leetcode,1,56,98.25,4086,21,6.0,Java,6.92
mudler/LocalAI,LocalAI,417,686,62.19,3895,83,0.0,Go,2.41
outline/outline,outline,108,3392,96.91,3325,147,0.0,TypeScript,9.24
sorrycc/awesome-javascript,awesome-javascript,21,88,80.73,389,0,3.0,,11.13
BVLC/caffe,caffe,1177,3901,76.82,1084,14,0.0,C++,11.93
yeongpin/cursor-free-vip,cursor-free-vip,549,473,46.28,74,69,3.0,Python,0.6
microsoft/ai-agents-for-beginners,ai-agents-for-beginners,18,56,75.68,145,0,0.0,Jupyter Notebook,0.72
charmbracelet/bubbletea,bubbletea,123,294,70.5,627,62,0.0,Go,5.6
chenfei-wu/TaskMatrix,TaskMatrix,258,136,34.52,21,0,8.0,Python,2.46
nodejs/node-v0.x-archive,node-v0.x-archive,0,6379,100.0,218,0,19.0,,16.22
fastify/fastify,fastify,119,2013,94.42,3124,298,0.0,JavaScript,8.88
netty/netty,netty,669,6095,90.11,4414,0,2.0,Java,14.77
fxsjy/jieba,jieba,690,228,24.84,91,9,19.0,Python,12.88
jaredpalmer/formik,formik,830,1558,65.24,828,196,1.0,TypeScript,8.18
ghostty-org/ghostty,ghostty,186,1626,89.74,2570,1,0.0,Zig,3.39
xitu/gold-miner,gold-miner,10,5592,99.82,3492,0,0.0,,9.79
karpathy/LLM101n,LLM101n,19,0,0.0,0,0,3.0,,1.22
geekan/HowToLiveLonger,HowToLiveLonger,38,103,73.05,14,0,6.0,,3.34
zenorocha/clipboard.js,clipboard.js,12,618,98.1,116,42,1.0,JavaScript,9.91
huiyadanli/RevokeMsgPatcher,RevokeMsgPatcher,45,828,94.85,11,21,6.0,C#,6.08
ManimCommunity/manim,manim,465,1295,73.58,1922,29,0.0,Python,5.25
solidjs/solid,solid,120,996,89.25,384,35,1.0,TypeScript,7.32
testerSunshine/12306,12306,281,466,62.38,31,1,20.0,Python,8.25
atlassian/react-beautiful-dnd,react-beautiful-dnd,644,1045,61.87,529,68,1.0,JavaScript,8.02
myshell-ai/OpenVoice,OpenVoice,269,67,19.94,17,0,0.0,Python,1.72
portainer/portainer,portainer,793,5277,86.94,4775,160,2.0,TypeScript,9.25
jaywcjlove/linux-command,linux-command,82,133,61.86,350,31,12.0,Markdown,8.76
llvm/llvm-project,llvm-project,31504,60073,65.6,55046,136,0.0,LLVM,8.69
typicode/husky,husky,94,1016,91.53,262,80,1.0,JavaScript,11.15
laravel/framework,framework,71,18822,99.62,16212,854,2.0,PHP,12.6
roboflow/supervision,supervision,125,415,76.85,967,33,0.0,Python,2.72
python-poetry/poetry,poetry,580,5712,90.78,2328,142,0.0,Python,7.47
xkcoding/spring-boot-demo,spring-boot-demo,142,73,33.95,15,0,6.0,Java,7.77
geekcomputers/Python,Python,434,149,25.56,1813,0,5.0,Python,13.71
anoma/anoma,anoma,185,578,75.75,856,10,0.0,Elixir,4.54
shadowsocks/shadowsocks,shadowsocks,450,0,0.0,69,2,18.0,Python,13.33
halfrost/LeetCode-Go,LeetCode-Go,20,64,76.19,178,4,0.0,Go,8.08
zsh-users/zsh-autosuggestions,zsh-autosuggestions,186,458,71.12,116,0,2.0,Shell,11.81
Blankj/AndroidUtilCode,AndroidUtilCode,323,1280,79.85,87,117,66.0,Java,9.05
alibaba/easyexcel,easyexcel,568,3130,84.64,190,14,0.0,Java,7.53
AFNetworking/AFNetworking,AFNetworking,102,0,0.0,705,40,2.0,Objective-C,14.21
TheAlgorithms/JavaScript,JavaScript,127,200,61.16,791,0,2.0,JavaScript,8.1
zxing/zxing,zxing,11,1314,99.17,318,31,0.0,Java,13.85
deepseek-ai/awesome-deepseek-integration,awesome-deepseek-integration,139,39,21.91,230,0,2.0,,1.6
mattermost/mattermost,mattermost,974,8376,89.58,19223,839,3.0,TypeScript,10.17
veggiemonk/awesome-docker,awesome-docker,8,127,94.07,919,1,2.0,,10.9
aseprite/aseprite,aseprite,1840,2495,57.55,404,117,0.0,C++,10.99
ShareX/ShareX,ShareX,516,6345,92.48,737,82,0.0,C#,11.85
XX-net/XX-Net,XX-Net,7917,5418,40.63,334,388,14.0,Python,10.59
Pythagora-io/gpt-pilot,gpt-pilot,244,314,56.27,393,0,6.0,Python,2.0
ehang-io/nps,nps,521,697,57.22,73,59,2.0,Go,6.78
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,How-To-Ask-Questions-The-Smart-Way,9,20,68.97,98,0,6.0,JavaScript,10.39
exelban/stats,stats,30,2149,98.62,409,301,0.0,Swift,6.22
jax-ml/jax,jax,2240,4873,68.51,14982,125,0.0,Python,6.81
adobe/brackets,brackets,2779,7063,71.76,4308,69,17.0,JavaScript,13.69
carbon-language/carbon-lang,carbon-lang,175,561,76.22,4347,406,3.0,C++,5.31
harness/harness,harness,75,1933,96.26,1042,52,2.0,Go,11.52
danielmiessler/Fabric,Fabric,129,611,82.57,430,243,0.0,JavaScript,1.62
gulpjs/gulp,gulp,33,1908,98.3,405,24,1.0,JavaScript,12.12
immutable-js/immutable-js,immutable-js,113,1169,91.19,595,89,0.0,TypeScript,11.13
bilibili/ijkplayer,ijkplayer,2884,2548,46.91,35,0,8.0,C,12.21
SeleniumHQ/selenium,selenium,249,10777,97.74,2992,108,0.0,Java,12.59
qishibo/AnotherRedisDesktopManager,AnotherRedisDesktopManager,150,927,86.07,152,53,6.0,JavaScript,6.61
hashicorp/vault,vault,1372,5242,79.26,21297,168,0.0,Go,10.48
mifi/lossless-cut,lossless-cut,214,1423,86.93,200,100,5.0,TypeScript,8.8
CMU-Perceptual-Computing-Lab/openpose,openpose,358,1667,82.32,173,15,1.0,C++,8.31
lllyasviel/ControlNet,ControlNet,454,138,23.31,4,0,7.0,Python,2.54
shadowsocks/ShadowsocksX-NG,ShadowsocksX-NG,312,1049,77.08,64,30,14.0,Swift,9.19
YunaiV/ruoyi-vue-pro,ruoyi-vue-pro,6,640,99.07,62,44,1.0,Java,4.56
bayandin/awesome-awesomeness,awesome-awesomeness,41,52,55.91,197,0,0.0,Ruby,11.11
lib-pku/libpku,libpku,15,32,68.09,22,0,6.0,TeX,6.74
TheAlgorithms/C-Plus-Plus,C-Plus-Plus,28,311,91.74,676,0,0.0,C++,9.09
PatrickJS/awesome-cursorrules,awesome-cursorrules,39,8,17.02,64,0,0.0,MDX,0.92
swc-project/swc,swc,438,3563,89.05,5587,712,15.0,Rust,7.65
AmruthPillai/Reactive-Resume,Reactive-Resume,339,1247,78.63,633,95,0.0,TypeScript,5.4
facebookresearch/detectron2,detectron2,575,3091,84.32,0,10,1.0,Python,5.95
qbittorrent/qBittorrent,qBittorrent,2335,14542,86.16,3904,0,3.0,C++,13.53
alan2207/bulletproof-react,bulletproof-react,45,77,63.11,70,0,1.0,TypeScript,4.22
jqlang/jq,jq,445,1919,81.18,628,15,0.0,C,13.08
certbot/certbot,certbot,177,5334,96.79,3986,62,6.0,Python,10.76
DataTalksClub/data-engineering-zoomcamp,data-engineering-zoomcamp,3,134,97.81,395,0,1.0,Jupyter Notebook,3.82
pnpm/pnpm,pnpm,1948,3013,60.73,2668,1012,0.0,TypeScript,9.55
pbatard/rufus,rufus,8,2503,99.68,1,84,4.0,C,13.74
ibraheemdev/modern-unix,modern-unix,66,30,31.25,15,0,3.0,,4.59
drawdb-io/drawdb,drawdb,97,157,61.81,231,0,1.0,JavaScript,2.09
google/material-design-lite,material-design-lite,425,1813,81.01,654,14,8.0,HTML,10.59
pcottle/learnGitBranching,learnGitBranching,49,467,90.5,604,0,1.0,JavaScript,13.01
refinedev/refine,refine,47,1622,97.18,4421,1594,0.0,TypeScript,4.57
beego/beego,beego,20,3365,99.41,1319,42,5.0,Go,13.46
gchq/CyberChef,CyberChef,526,626,54.34,509,447,5.0,JavaScript,8.72
SerenityOS/serenity,serenity,734,3522,82.75,19486,0,1.0,C++,6.71
explosion/spaCy,spaCy,197,5550,96.57,3588,129,3.0,Python,11.12
xinntao/Real-ESRGAN,Real-ESRGAN,603,171,22.09,21,10,1.0,Python,4.08
lizongying/my-tv,my-tv,148,774,83.95,11,72,11.0,C,1.7
CorentinTh/it-tools,it-tools,717,199,21.72,491,10,1.0,Vue,5.37
The-Run-Philosophy-Organization/run,run,42,214,83.59,116,0,15.0,,3.35
mckaywrigley/chatbot-ui,chatbot-ui,220,817,78.78,269,0,0.0,TypeScript,2.44
directus/directus,directus,338,9043,96.4,8075,342,1.0,TypeScript,12.68
ueberdosis/tiptap,tiptap,726,2533,77.72,1247,896,1.0,TypeScript,6.99
duckdb/duckdb,duckdb,541,5650,91.26,8158,51,0.0,C++,7.14
TabbyML/tabby,tabby,252,733,74.42,2966,238,1.0,Rust,2.42
Chanzhaoyu/chatgpt-web,chatgpt-web,1,1747,99.94,159,43,30.0,Vue,2.52
alibaba/nacos,nacos,284,8887,96.9,3148,83,4.0,Java,7.17
balena-io/etcher,etcher,591,1822,75.51,1731,289,2.0,TypeScript,9.81
yewstack/yew,yew,146,1143,88.67,1797,35,1.0,Rust,7.67
agno-agi/agno,agno,208,1125,84.4,1712,85,0.0,Python,3.29
vercel/swr,swr,172,817,82.61,795,123,12.0,TypeScript,5.8
ziadoz/awesome-php,awesome-php,69,152,68.78,453,0,1.0,,11.72
Trinea/android-open-project,android-open-project,27,75,73.53,203,0,35.0,,11.61
shardeum/shardeum,shardeum,84,33,28.21,325,0,9.0,TypeScript,1.33
binarywang/WxJava,WxJava,68,2306,97.14,1053,30,9.0,Java,9.61
v2fly/v2ray-core,v2ray-core,52,1000,95.06,901,111,2.0,Go,6.34
pathwaycom/pathway,pathway,46,53,53.54,5,75,0.0,Python,2.72
chatanywhere/GPT_API_free,GPT_API_free,28,353,92.65,1,0,2.0,Python,2.32
facebookresearch/fairseq,fairseq,1342,3055,69.48,234,16,0.0,Python,7.97
mpv-player/mpv,mpv,999,9634,90.6,3426,87,1.0,C,12.84
CherryHQ/cherry-studio,cherry-studio,600,5706,90.49,1884,189,2.0,TypeScript,1.23
hasura/graphql-engine,graphql-engine,2366,4145,63.66,2107,293,2.0,TypeScript,7.16
yunjey/pytorch-tutorial,pytorch-tutorial,89,114,56.16,28,0,4.0,Python,8.44
zeromicro/go-zero,go-zero,336,1638,82.98,2317,140,3.0,Go,5.03
vnpy/vnpy,vnpy,24,2109,98.87,1051,64,4.0,Python,10.46
open-mmlab/mmdetection,mmdetection,1932,6745,77.73,2357,53,12.0,Python,6.99
floating-ui/floating-ui,floating-ui,32,1427,97.81,1188,493,4.0,TypeScript,9.39
mouredev/Hello-Python,Hello-Python,22,286,92.86,0,0,1.0,Python,3.04
remix-run/remix,remix,9,2602,99.66,3438,175,5.0,TypeScript,4.81
qier222/YesPlayMusic,YesPlayMusic,610,1191,66.13,288,31,4.0,Vue,4.85
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Retrieval-based-Voice-Conversion-WebUI,638,1296,67.01,475,7,2.0,Python,2.39
niklasvh/html2canvas,html2canvas,1034,1660,61.62,186,45,2.0,TypeScript,14.09
kuchin/awesome-cto,awesome-cto,0,11,100.0,18,0,4.0,,8.67
amix/vimrc,vimrc,20,510,96.23,105,0,5.0,Vim Script,13.22
RSSNext/Folo,Folo,205,2043,90.88,1248,70,2.0,TypeScript,1.36
ReactiveX/rxjs,rxjs,276,2941,91.42,2585,2,1.0,TypeScript,10.43
labstack/echo,echo,109,1392,92.74,591,109,3.0,Go,10.46
airbnb/lottie-web,lottie-web,833,2125,71.84,133,0,4.0,JavaScript,10.49
microsoft/MS-DOS,MS-DOS,3,0,0.0,37,0,7.0,Assembly,7.15
servo/servo,servo,3163,10974,77.63,20399,0,0.0,HTML,13.52
IceWhaleTech/CasaOS,CasaOS,675,879,56.56,274,97,0.0,Go,3.89
lutzroeder/netron,netron,20,1201,98.36,1,2,2.0,JavaScript,14.64
cockroachdb/cockroach,cockroach,7620,69076,90.06,67561,0,6.0,Go,11.53
backstage/backstage,backstage,485,6677,93.23,18911,439,8.0,TypeScript,5.56
xyflow/xyflow,xyflow,98,2179,95.7,1395,347,4.0,TypeScript,6.09
cursor/cursor,cursor,2015,1211,37.54,46,0,2.0,,2.43
mli/paper-reading,paper-reading,1,0,0.0,15,0,0.0,,3.82
mqyqingfeng/Blog,Blog,266,100,27.32,3,0,16.0,,8.43
ianstormtaylor/slate,slate,689,2528,78.58,1932,203,5.0,TypeScript,9.16
dokku/dokku,dokku,53,2753,98.11,4132,300,0.0,Shell,12.19
google-ai-edge/mediapipe,mediapipe,592,5028,89.47,201,63,1.0,C++,6.18
lovell/sharp,sharp,117,3863,97.06,301,99,9.0,JavaScript,11.99
0xAX/linux-insides,linux-insides,45,153,77.27,566,0,4.0,Python,10.62
mathiasbynens/dotfiles,dotfiles,185,254,57.86,42,0,2.0,Shell,13.95
coolsnowwolf/lede,lede,767,8379,91.61,2008,6,7.0,C,7.95
blueimp/jQuery-File-Upload,jQuery-File-Upload,52,3257,98.43,118,0,31.0,PHP,14.71
MonitorControl/MonitorControl,MonitorControl,15,968,98.47,216,26,2.0,Swift,7.92
schollz/croc,croc,10,530,98.15,235,175,0.0,Go,7.83
kubernetes/minikube,minikube,559,9598,94.5,8756,151,8.0,Go,9.34
filebrowser/filebrowser,filebrowser,32,2725,98.84,596,97,0.0,Go,9.93
ocrmypdf/OCRmyPDF,OCRmyPDF,140,1136,89.03,149,41,4.0,Python,11.66
1Panel-dev/1Panel,1Panel,633,4714,88.16,3788,96,1.0,Go,3.08
vadimdemedes/ink,ink,82,302,78.65,232,61,0.0,TypeScript,8.18
OpenCut-app/OpenCut,OpenCut,176,70,28.46,177,0,0.0,TypeScript,0.15
derailed/k9s,k9s,486,1719,77.96,828,248,3.0,Go,6.56
khoj-ai/khoj,khoj,83,474,85.1,474,158,1.0,Python,4.0
alibaba/p3c,p3c,186,697,78.94,62,0,12.0,Kotlin,8.15
apache/kafka,kafka,255,0,0.0,11797,0,2.0,Java,14.01
codex-team/editor.js,editor.js,685,921,57.35,863,102,6.0,TypeScript,9.72
XTLS/Xray-core,Xray-core,25,2541,99.03,990,90,2.0,Go,4.77
donnemartin/interactive-coding-challenges,interactive-coding-challenges,76,32,29.63,175,0,4.0,Python,10.31
fish-shell/fish-shell,fish-shell,501,7180,93.48,2139,48,1.0,Rust,13.27
SortableJS/Sortable,Sortable,505,1344,72.69,244,30,4.0,JavaScript,11.66
paperless-ngx/paperless-ngx,paperless-ngx,8,2096,99.62,2556,122,0.0,Python,3.51
awesome-foss/awesome-sysadmin,awesome-sysadmin,45,88,66.17,327,0,0.0,,10.65
ityouknow/spring-boot-examples,spring-boot-examples,17,99,85.34,6,0,4.0,Java,8.78
google/comprehensive-rust,comprehensive-rust,146,234,61.58,2171,0,1.0,Rust,2.66
Textualize/textual,textual,237,2073,89.74,2174,185,0.0,Python,4.36
microsoft/calculator,calculator,416,717,63.28,886,0,7.0,C++,6.55
juanfont/headscale,headscale,127,991,88.64,1046,124,0.0,Go,5.16
k3s-io/k3s,k3s,134,6805,98.07,4066,885,0.0,Go,7.21
symfony/symfony,symfony,879,20661,95.92,24131,555,1.0,PHP,15.62
utmapp/UTM,UTM,902,2524,73.67,264,121,3.0,Swift,6.35
influxdata/influxdb,influxdb,2142,11946,84.8,10591,93,8.0,Rust,11.89
parallax/jsPDF,jsPDF,119,2444,95.36,716,35,2.0,JavaScript,15.7
nextcloud/server,server,2694,17920,86.93,28083,348,1.0,PHP,9.21
microsoft/Data-Science-For-Beginners,Data-Science-For-Beginners,57,95,62.5,308,0,3.0,Jupyter Notebook,4.46
ascoders/weekly,weekly,3,363,99.18,136,193,7.0,JavaScript,8.41
webtorrent/webtorrent,webtorrent,77,1598,95.4,957,228,2.0,JavaScript,11.84
Binaryify/NeteaseCloudMusicApi,NeteaseCloudMusicApi,147,1190,89.01,292,0,4.0,,9.15
fabricjs/fabric.js,fabric.js,450,5761,92.75,2334,174,3.0,TypeScript,15.19
openai/CLIP,CLIP,259,193,42.7,28,0,1.0,Jupyter Notebook,4.67
huggingface/diffusers,diffusers,771,4406,85.11,4977,84,6.0,Python,3.22
layui/layui,layui,76,1293,94.45,590,158,32.0,JavaScript,9.9
facebook/rocksdb,rocksdb,1260,2635,67.65,603,206,4.0,C++,12.71
medusajs/medusa,medusa,155,3159,95.32,7430,128,4.0,TypeScript,5.58
iawia002/lux,lux,526,540,50.66,300,86,3.0,Go,7.48
gkd-kit/gkd,gkd,13,648,98.03,6,53,2.0,Kotlin,2.12
tqdm/tqdm,tqdm,568,587,50.82,285,131,0.0,Python,10.21
linexjlin/GPTs,GPTs,9,21,70.0,42,0,3.0,,1.77
docsifyjs/docsify,docsify,124,1198,90.62,727,15,2.0,JavaScript,8.74
TriliumNext/Trilium,Trilium,1088,3481,76.19,591,334,0.0,TypeScript,8.24
joshbuchea/HEAD,HEAD,29,73,71.57,86,0,10.0,,9.33
anthropics/claude-code,claude-code,3031,2800,48.02,56,0,0.0,TypeScript,0.48
alpinejs/alpine,alpine,47,612,92.87,657,137,1.0,HTML,5.72
AMAI-GmbH/AI-Expert-Roadmap,AI-Expert-Roadmap,23,46,66.67,13,0,4.0,JavaScript,4.81
numpy/numpy,numpy,2351,11385,82.88,13036,132,1.0,Python,14.92
s0md3v/roop,roop,13,0,0.0,80,6,6.0,Python,2.22
sequelize/sequelize,sequelize,984,9511,90.62,4927,487,10.0,TypeScript,15.07
umami-software/umami,umami,97,1760,94.78,792,99,0.0,TypeScript,5.08
tatsu-lab/stanford_alpaca,stanford_alpaca,188,98,34.27,5,0,3.0,Python,2.44
OWASP/CheatSheetSeries,CheatSheetSeries,53,487,90.19,1075,0,3.0,Python,6.66
OAI/OpenAPI-Specification,OpenAPI-Specification,163,2213,93.14,1569,12,3.0,Markdown,11.46
transloadit/uppy,uppy,169,2289,93.12,3091,196,1.0,TypeScript,9.75
DioxusLabs/dioxus,dioxus,462,1612,77.72,1749,25,0.0,Rust,4.59
exo-explore/exo,exo,427,146,25.48,207,12,1.0,Python,1.15
GyulyVGC/sniffnet,sniffnet,53,238,81.79,429,14,0.0,Rust,3.05
chinabugotech/hutool,hutool,4,2978,99.87,443,152,1.0,Java,11.35
Lightning-AI/pytorch-lightning,pytorch-lightning,990,6472,86.73,9067,167,6.0,Python,6.38
VincentGarreau/particles.js,particles.js,364,106,22.55,21,6,8.0,JavaScript,10.95
surrealdb/surrealdb,surrealdb,755,1470,66.07,2137,92,2.0,Rust,3.69
tinygrad/tinygrad,tinygrad,233,843,78.35,7890,12,2.0,Python,4.83
pathwaycom/llm-app,llm-app,6,12,66.67,47,0,2.0,Jupyter Notebook,2.08
square/leakcanary,leakcanary,136,1510,91.74,921,43,40.0,Kotlin,10.3
drizzle-team/drizzle-orm,drizzle-orm,1709,1692,49.75,610,146,0.0,TypeScript,4.15
foundation/foundation-sites,foundation-sites,69,8179,99.16,2833,79,30.0,HTML,13.84
herrbischoff/awesome-macos-command-line,awesome-macos-command-line,0,0,0.0,104,0,0.0,,9.9
jobbole/awesome-python-cn,awesome-python-cn,23,18,43.9,51,0,7.0,Makefile,9.79
vuejs/vue-cli,vue-cli,1068,4563,81.03,1255,177,2.0,JavaScript,9.64
DevToys-app/DevToys,DevToys,278,658,70.3,492,38,0.0,C#,3.88
restic/restic,restic,491,2392,82.97,2181,48,5.0,Go,11.31
AdguardTeam/AdGuardHome,AdGuardHome,1180,4629,79.69,123,213,2.0,Go,9.11
cheeriojs/cheerio,cheerio,34,1199,97.24,2833,61,1.0,TypeScript,13.86
facebook/folly,folly,396,931,70.16,13,253,5.0,C++,13.21
trailofbits/algo,algo,88,1534,94.57,574,2,1.0,Python,9.26
nothings/stb,stb,351,694,66.41,285,0,5.0,C,11.23
wailsapp/wails,wails,290,1858,86.5,1501,242,0.0,Go,6.67
JushBJJ/Mr.-Ranedeer-AI-Tutor,Mr.-Ranedeer-AI-Tutor,13,34,72.34,18,3,2.0,,2.38
apolloconfig/apollo,apollo,141,3212,95.79,1445,41,40.0,Java,9.45
microsoft/WSL,WSL,1035,10695,91.18,132,94,5.0,C++,9.36
elsewhencode/project-guidelines,project-guidelines,15,29,65.91,109,0,3.0,JavaScript,8.13
vbenjs/vue-vben-admin,vue-vben-admin,128,3468,96.44,1631,60,1.0,Vue,5.1
nicolargo/glances,glances,134,1932,93.51,737,51,3.0,Python,13.7
react-boilerplate/react-boilerplate,react-boilerplate,130,1823,93.34,705,16,3.0,JavaScript,10.49
motiondivision/motion,motion,295,1570,84.18,1061,0,2.0,TypeScript,6.75
aosabook/500lines,500lines,58,41,41.41,175,0,11.0,JavaScript,11.78
hyprwm/Hyprland,Hyprland,101,7206,98.62,1872,96,0.0,C++,3.42
ariya/phantomjs,phantomjs,14,4731,99.7,492,0,16.0,C++,14.64
mantinedev/mantine,mantine,24,3218,99.26,1487,271,1.0,TypeScript,4.61
pmndrs/react-three-fiber,react-three-fiber,95,1040,91.63,649,125,2.0,TypeScript,6.48
encode/django-rest-framework,django-rest-framework,98,3887,97.54,3011,21,1.0,Python,14.46
IanLunn/Hover,Hover,42,83,66.4,23,10,2.0,SCSS,11.62
heyverse/hey,hey,0,0,0.0,3765,0,0.0,TypeScript,3.41
AllThingsSmitty/css-protips,css-protips,6,61,91.04,73,0,1.0,,9.97
standard/standard,standard,127,1121,89.82,409,7,1.0,JavaScript,10.55
tokio-rs/tokio,tokio,389,2183,84.88,3557,138,7.0,Rust,8.93
alibaba/canal,canal,1225,3571,74.46,471,32,6.0,Java,12.59
GoogleChrome/lighthouse,lighthouse,502,8689,94.54,5464,125,21.0,JavaScript,9.44
hashicorp/consul,consul,1323,4269,76.34,13725,217,16.0,Go,11.78
lukehoban/es6features,es6features,39,36,48.0,41,0,2.0,,11.46
ageron/handson-ml2,handson-ml2,230,300,56.6,64,0,2.0,Jupyter Notebook,6.61
xuxueli/xxl-job,xxl-job,352,3007,89.52,113,38,6.0,Java,9.72
danny-avila/LibreChat,LibreChat,238,3076,92.82,2119,58,0.0,TypeScript,2.51
realpython/python-guide,python-guide,125,180,59.02,650,0,0.0,Batchfile,14.43
iperov/DeepFaceLive,DeepFaceLive,1,143,99.31,13,35,1.0,Python,4.67
GorvGoyl/Clone-Wars,Clone-Wars,23,70,75.27,129,0,1.0,,4.71
kodecocodes/swift-algorithm-club,swift-algorithm-club,62,183,74.69,603,0,0.0,Swift,9.56
spf13/viper,viper,519,489,48.51,507,34,2.0,Go,11.38
firecracker-microvm/firecracker,firecracker,79,1401,94.66,3160,78,3.0,Rust,7.83
composer/composer,composer,150,7751,98.1,2922,214,3.0,PHP,14.19
sampotts/plyr,plyr,919,1221,57.06,384,88,5.0,JavaScript,10.51
google-research/tuning_playbook,tuning_playbook,13,34,72.34,14,0,5.0,,2.58
keycloak/keycloak,keycloak,2256,13218,85.42,17473,86,0.0,Java,12.13
CSSEGISandData/COVID-19,COVID-19,1961,2078,51.45,2151,0,32.0,,5.53
XIU2/TrackersListCollection,TrackersListCollection,1,0,0.0,7,0,5.0,,5.87
refined-github/refined-github,refined-github,143,4370,96.83,3422,173,3.0,TypeScript,9.5
wuyouzhuguli/SpringAll,SpringAll,34,27,44.26,1,0,7.0,Java,7.29
meta-llama/llama3,llama3,212,119,35.95,23,0,9.0,Python,1.42
postcss/postcss,postcss,28,998,97.27,751,268,1.0,TypeScript,11.89
ajeetdsouza/zoxide,zoxide,126,579,82.13,225,36,0.0,Rust,5.45
pmndrs/react-spring,react-spring,128,1143,89.93,437,52,4.0,TypeScript,7.45
tastejs/todomvc,todomvc,170,661,79.54,750,6,75.0,JavaScript,14.21
Pierian-Data/Complete-Python-3-Bootcamp,Complete-Python-3-Bootcamp,253,225,47.07,12,0,1.0,Jupyter Notebook,7.51
dragonflydb/dragonfly,dragonfly,290,1574,84.44,3306,106,2.0,C++,3.68
alibaba/spring-cloud-alibaba,spring-cloud-alibaba,240,2300,90.55,1076,48,2.0,Java,7.71
StevenBlack/hosts,hosts,120,1999,94.34,485,779,0.0,Python,13.35
wesbos/JavaScript30,JavaScript30,63,0,0.0,148,0,8.0,HTML,8.69
cfenollosa/os-tutorial,os-tutorial,124,105,45.85,11,0,2.0,C,10.88
Ebazhanov/linkedin-skill-assessments-quizzes,linkedin-skill-assessments-quizzes,85,807,90.47,5622,1,4.0,,6.1
kenwheeler/slick,slick,1378,2421,63.73,255,48,0.0,JavaScript,11.4
statelyai/xstate,xstate,165,1288,88.64,1971,440,0.0,TypeScript,9.92
feder-cr/Jobs_Applier_AI_Agent_AIHawk,Jobs_Applier_AI_Agent_AIHawk,11,663,98.37,185,0,1.0,Python,1.03
ZuzooVn/machine-learning-for-software-engineers,machine-learning-for-software-engineers,30,9,23.08,60,0,0.0,,8.85
kovidgoyal/kitty,kitty,20,6258,99.68,1128,128,0.0,Python,8.84
immerjs/immer,immer,56,633,91.87,373,109,8.0,JavaScript,7.63
grafana/k6,k6,754,1669,68.88,2142,76,2.0,Go,9.41
donnemartin/data-science-ipython-notebooks,data-science-ipython-notebooks,40,22,35.48,31,0,3.0,Python,10.57
AvaloniaUI/Avalonia,Avalonia,1766,6153,77.7,5306,110,2.0,C#,11.7
shengxinjing/programmer-job-blacklist,programmer-job-blacklist,171,181,51.42,12,0,8.0,Shell,9.14
vuejs/vuex,vuex,144,1167,89.02,652,51,2.0,JavaScript,10.09
valinet/ExplorerPatcher,ExplorerPatcher,276,2189,88.8,18,288,2.0,C,4.02
PostHog/posthog,posthog,2312,5537,70.54,24880,18,3.0,Python,5.56
vercel/turborepo,turborepo,166,1806,91.58,6220,496,0.0,Rust,3.87
sunface/rust-course,rust-course,70,149,68.04,780,0,7.0,Rust,7.03
microsoft/qlib,qlib,290,724,71.4,722,23,1.0,Python,5.01
jumpserver/jumpserver,jumpserver,42,7271,99.43,7506,249,0.0,Python,11.12
continuedev/continue,continue,815,2869,77.88,2785,378,0.0,TypeScript,2.23
codepath/android_guides,android_guides,164,219,57.18,9,0,20.0,,12.16
openai/openai-python,openai-python,129,988,88.45,990,315,0.0,Python,4.81
helm/helm,helm,851,7662,90.0,4093,215,7.0,Go,9.86
openssl/openssl,openssl,2056,8984,81.38,145,283,0.0,C,12.58
containers/podman,podman,898,9233,91.14,11685,228,5.0,Go,7.79
jamiebuilds/the-super-tiny-compiler,the-super-tiny-compiler,17,0,0.0,20,0,4.0,JavaScript,9.43
viraptor/reverse-interview,reverse-interview,24,18,42.86,75,0,6.0,,5.94
telegramdesktop/tdesktop,tdesktop,909,14349,94.04,1742,798,9.0,C++,11.29
MichaelCade/90DaysOfDevOps,90DaysOfDevOps,10,80,88.89,357,2,2.0,Shell,3.64
VSCodium/vscodium,vscodium,131,1388,91.38,544,238,0.0,Shell,7.01
eugeneyan/applied-ml,applied-ml,2,22,91.67,208,0,4.0,,5.12
caolan/async,async,10,1132,99.12,555,7,1.0,JavaScript,15.21
GitbookIO/gitbook,gitbook,68,1880,96.51,1288,75,1.0,TypeScript,11.38
linera-io/linera-protocol,linera-protocol,538,754,58.36,2658,18,4.0,Rust,3.66
digitalocean/nginxconfig.io,nginxconfig.io,61,183,75.0,191,0,5.0,JavaScript,7.61
alibaba/druid,druid,2285,2285,50.0,1513,51,39.0,Java,13.79
LizardByte/Sunshine,Sunshine,109,980,89.99,1391,43,0.0,C++,3.67
